"gene_id" "sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10" "sample11" "sample12" "sample13" "sample14" "sample15" "sample16" "sample17" "sample18" "sample19" "sample20" "sample21" "sample22" "sample23" "sample24" "sample25" "sample26" "sample27" "sample28" "sample29" "sample30" "sample31" "sample32" "sample33"
"gene_id_17" 12 7 7 6 8 6 10 13 26 6 7 19 6 7 6 16 7 7 6 6 7 6 10 21 6 33 9 160 9 9 11 6 8
"gene_id_18" 5 7 7 6 8 7 15 14 32 7 7 15 6 7 6 12 7 5 8 9 6 6 7 18 6 48 14 126 12 10 17 7 10
"gene_id_19" 6 7 7 6 6 7 11 13 39 6 7 8 6 7 6 15 14 7 11 14 7 6 9 16 6 47 11 150 6 7 12 6 5
"gene_id_20" 5 7 7 6 6 7 11 10 39 6 7 7 6 7 6 15 13 7 11 14 7 6 10 15 6 51 11 154 6 7 14 6 6
"gene_id_21" 6 7 7 6 7 7 14 16 39 6 7 7 6 7 6 16 12 7 12 14 8 6 10 15 6 51 11 143 5 7 12 5 15
"gene_id_22" 7 7 7 6 7 7 10 5 41 5 7 12 6 7 6 15 7 5 8 8 9 6 6 18 6 26 11 159 12 7 9 7 12
"gene_id_23" 6 7 7 6 6 7 10 5 39 5 7 11 6 7 6 15 5 5 8 8 9 6 5 17 6 23 6 154 11 8 8 7 9
"gene_id_24" 6 7 7 6 7 7 9 5 40 5 7 12 6 7 6 15 7 5 8 8 9 6 6 18 6 23 11 156 11 8 10 7 10
"gene_id_25" 5 7 7 6 7 7 9 5 46 7 6 13 6 7 6 5 5 5 5 7 7 6 7 18 6 25 5 164 11 8 9 7 8
"gene_id_26" 5 7 7 5 7 7 11 15 36 7 7 13 6 7 6 15 9 7 8 12 5 6 7 19 6 57 16 159 11 7 10 8 3
"gene_id_27" 5 7 5 6 8 8 11 16 29 7 7 17 6 7 6 18 10 7 8 14 7 6 6 18 6 53 17 168 7 7 11 7 11
"gene_id_28" 5 6 7 6 7 9 9 10 42 9 7 13 6 7 6 21 6 5 9 7 7 5 7 14 6 45 14 152 14 7 10 7 1
"gene_id_29" 5 7 6 6 8 6 13 7 49 5 7 11 6 8 6 15 7 7 13 10 8 6 8 10 6 27 9 144 6 7 10 7 9
"gene_id_30" 5 7 7 6 8 9 8 6 39 7 7 10 6 9 6 18 7 8 12 12 7 6 8 12 6 38 11 132 11 7 6 7 3
"gene_id_31" 6 7 7 6 8 9 7 8 39 7 7 12 6 11 6 24 7 6 12 11 7 6 7 10 6 40 10 134 13 7 10 5 15
"gene_id_32" 5 7 7 6 7 7 5 7 55 6 7 9 6 7 6 17 6 7 7 14 6 6 5 11 6 48 6 174 12 6 13 7 5
"gene_id_33" 5 7 7 6 9 7 9 11 40 7 7 8 6 7 6 18 5 7 8 10 7 6 7 12 6 42 12 170 10 6 20 7 6
"gene_id_34" 7 7 7 6 7 7 9 11 39 7 7 8 6 5 6 22 6 7 8 10 7 6 10 21 6 34 11 145 11 6 11 7 7
"gene_id_35" 8 7 7 6 7 7 9 9 42 5 7 7 6 5 6 22 5 7 8 10 7 6 12 21 6 33 11 152 11 6 8 6 6
"gene_id_36" 6 7 7 6 7 7 9 10 40 6 7 9 6 5 6 19 7 7 8 10 7 6 13 20 6 33 11 143 11 8 7 7 7
"gene_id_37" 6 7 7 6 7 7 9 10 39 6 7 10 6 5 6 19 5 7 8 10 7 6 13 20 6 34 11 149 11 8 6 7 7
"gene_id_38" 6 7 7 6 10 7 6 9 45 5 7 12 6 5 6 15 5 7 8 11 7 6 13 21 6 40 11 147 10 7 7 7 7
"gene_id_39" 9 7 7 6 9 7 5 15 45 8 7 12 6 7 6 21 5 7 7 7 7 5 7 17 6 39 18 152 6 7 6 7 5
"gene_id_40" 9 7 7 6 9 7 5 14 46 9 7 10 6 5 6 18 7 7 7 6 7 7 6 17 6 38 20 151 6 7 7 8 12
"gene_id_41" 9 7 7 6 7 7 5 8 35 11 7 10 6 7 6 20 5 7 7 6 5 5 6 17 6 40 21 148 9 7 8 8 6
"gene_id_42" 9 7 7 6 7 7 5 10 39 11 7 9 6 7 6 21 7 7 6 5 5 5 6 15 6 42 20 138 5 7 7 9 6
"gene_id_43" 11 7 7 6 8 7 8 11 43 13 7 12 6 8 6 22 7 7 6 5 7 8 7 13 6 37 16 124 9 7 8 9 6
"gene_id_44" 10 7 7 6 8 5 11 11 48 12 7 13 6 7 6 24 7 7 6 6 7 7 7 16 6 35 14 128 9 7 9 9 8
"gene_id_45" 10 7 7 6 5 7 10 12 38 11 7 11 6 7 6 20 7 7 7 8 7 6 7 24 6 34 12 130 9 7 11 7 3
"gene_id_46" 7 7 7 6 5 7 9 16 47 8 7 8 6 7 6 23 5 6 6 8 7 6 7 17 6 40 11 160 8 7 7 9 9
"gene_id_47" 6 7 7 6 5 7 8 16 43 8 5 6 6 7 6 20 7 5 8 8 7 6 5 13 6 37 12 163 6 7 7 9 11
"gene_id_48" 6 7 7 6 5 7 8 15 43 8 7 7 6 7 6 20 7 5 8 9 7 6 5 13 6 37 12 164 6 7 7 9 10
"gene_id_49" 6 7 7 6 7 7 6 17 49 7 5 7 6 7 6 18 8 6 8 9 7 6 6 13 6 36 12 166 5 7 8 9 9
"gene_id_50" 7 7 7 6 7 7 9 21 49 11 6 6 6 7 6 19 10 5 8 11 7 6 7 13 6 33 11 156 8 7 10 6 7
"gene_id_51" 7 7 7 6 7 7 10 20 51 11 6 8 6 7 6 19 9 5 8 9 7 6 7 14 6 35 12 155 8 7 15 6 6
"gene_id_52" 5 7 7 6 9 7 9 20 39 8 7 6 6 5 6 15 8 6 8 11 6 6 7 16 6 30 20 152 10 7 17 6 6
"gene_id_53" 5 7 7 6 8 7 10 16 37 7 7 6 6 5 6 18 11 5 7 13 7 6 7 18 6 28 21 143 10 7 20 7 10
"gene_id_54" 5 7 7 6 8 7 9 11 32 7 7 11 5 6 6 15 9 8 7 9 7 6 7 14 6 34 18 135 13 7 13 7 4
"gene_id_55" 7 7 7 6 8 9 5 10 34 5 7 13 6 5 6 17 10 5 6 12 10 6 7 13 6 29 13 118 10 7 12 5 12
"gene_id_56" 6 7 7 6 9 9 5 9 39 6 7 14 6 7 6 14 9 5 6 12 9 6 7 11 6 38 14 116 9 7 12 6 2
"gene_id_57" 7 8 7 9 10 7 10 12 49 7 7 6 6 7 6 8 7 5 8 11 7 6 7 13 5 31 9 112 12 6 7 7 5
"gene_id_58" 9 7 7 8 11 5 9 11 46 7 7 11 6 7 6 10 7 7 6 6 6 6 7 13 5 26 11 116 12 10 11 8 7
"gene_id_59" 10 7 7 8 10 5 6 13 42 7 7 11 6 7 6 9 7 7 6 6 6 6 7 12 5 23 11 109 13 9 11 8 4
"gene_id_60" 11 7 8 6 10 7 5 10 27 6 7 11 6 7 6 16 5 7 5 8 7 6 5 12 7 23 11 115 10 7 12 7 4
"gene_id_61" 11 7 6 6 10 5 5 7 29 5 7 11 5 5 6 16 5 7 5 8 5 6 5 13 6 24 11 124 11 6 13 7 8
"gene_id_62" 7 6 6 6 10 7 9 7 31 7 7 11 6 7 6 21 7 7 7 7 5 6 6 10 7 24 14 134 6 6 16 7 7
"gene_id_63" 7 6 6 6 10 8 9 7 31 7 7 11 6 7 6 18 7 7 7 7 5 6 6 9 7 24 14 130 6 6 16 7 4
"gene_id_64" 5 6 6 6 10 6 9 7 32 5 7 5 6 8 6 18 7 7 6 7 5 6 6 9 6 27 12 134 7 7 15 7 8
"gene_id_65" 6 5 7 7 6 9 11 10 19 7 7 8 6 7 6 11 6 5 7 15 7 6 6 12 6 29 20 112 9 7 7 10 7
"gene_id_66" 8 5 7 6 5 7 9 10 42 6 7 8 6 7 6 10 6 5 8 15 7 6 7 13 6 29 18 126 5 7 11 7 7
"gene_id_67" 7 5 7 6 5 5 10 10 40 7 7 8 6 7 6 10 6 7 10 15 7 6 7 12 6 28 15 135 5 7 11 7 7
"gene_id_68" 5 7 7 6 12 7 11 6 19 7 7 6 6 15 6 11 7 5 6 8 5 6 6 15 6 40 5 121 17 6 8 6 6
"gene_id_69" 5 7 7 6 9 7 8 9 27 7 7 13 6 7 6 14 7 7 11 6 5 6 6 16 6 47 9 127 9 7 6 8 8
"gene_id_70" 7 7 6 6 8 9 6 5 32 7 7 6 6 6 6 18 8 6 8 10 7 6 6 8 6 38 10 138 8 7 5 7 5
"gene_id_71" 7 7 7 6 8 11 5 12 38 7 6 11 6 7 6 14 8 7 8 10 7 6 7 13 6 36 6 103 7 7 10 9 2
"gene_id_72" 6 7 9 6 5 7 9 17 45 6 7 7 6 7 5 12 7 15 6 5 7 6 5 11 5 33 12 121 7 5 11 7 4
"gene_id_73" 8 7 10 6 5 7 9 17 51 6 7 5 6 7 7 12 7 13 7 10 7 6 5 12 5 33 11 118 5 5 11 7 10
"gene_id_74" 8 7 10 6 8 6 9 17 47 7 7 13 6 7 6 13 7 11 8 7 5 6 5 13 5 27 12 131 7 7 14 7 10
"gene_id_75" 7 7 11 6 8 7 8 5 39 8 6 10 6 5 6 11 7 7 5 10 5 6 7 8 6 37 6 133 11 7 12 7 6
"gene_id_76" 7 7 11 6 11 7 9 10 40 13 6 14 6 7 6 14 8 7 5 7 8 6 7 8 6 42 10 142 13 7 10 6 4
"gene_id_77" 11 7 10 6 12 7 9 11 33 12 7 14 6 6 6 12 7 5 6 7 7 6 8 7 6 38 12 139 14 7 10 5 5
"gene_id_78" 5 5 7 6 7 6 11 6 27 9 7 16 5 6 6 13 9 6 5 6 7 6 10 7 6 39 14 138 5 7 8 7 4
"gene_id_79" 6 7 7 6 5 8 8 8 29 7 7 19 6 5 6 12 10 5 8 7 7 6 8 7 6 45 17 143 5 7 9 7 8
"gene_id_80" 6 7 7 6 5 7 8 9 28 7 7 18 6 7 6 9 9 5 8 7 7 6 6 6 6 42 15 142 9 7 6 7 5
"gene_id_81" 6 7 7 6 5 6 9 10 38 7 7 17 6 5 6 9 8 5 8 6 7 6 6 6 6 40 17 140 5 7 7 7 6
"gene_id_82" 6 7 7 6 5 6 8 9 31 7 7 15 6 7 6 10 7 7 8 8 5 6 7 8 6 33 13 150 9 7 6 7 8
"gene_id_83" 6 7 7 6 6 8 6 10 33 7 7 11 6 6 6 14 8 7 8 8 6 6 7 7 6 33 12 152 9 7 7 7 3
"gene_id_84" 7 6 6 6 6 7 16 5 34 6 7 14 6 6 6 21 7 7 5 10 6 6 7 12 6 48 16 154 9 7 21 7 11
"gene_id_85" 7 6 6 6 7 6 14 10 32 6 5 16 5 6 6 22 7 7 5 14 5 6 5 13 6 47 13 157 5 7 20 7 7
"gene_id_86" 6 6 5 6 7 5 14 10 30 5 7 13 6 7 6 23 7 7 5 16 5 6 7 11 6 50 13 146 9 7 15 7 7
"gene_id_87" 6 7 6 6 8 7 12 10 18 7 7 10 6 7 6 20 7 8 8 14 7 6 7 16 6 39 10 129 5 7 6 7 3
"gene_id_88" 5 5 11 6 5 7 11 10 12 5 7 11 6 7 6 23 7 8 13 9 7 6 5 13 6 39 9 129 9 7 6 7 9
"gene_id_89" 6 6 10 6 5 7 10 10 11 5 7 10 6 7 6 21 7 8 16 6 7 6 7 12 6 35 10 131 9 7 7 7 5
"gene_id_90" 6 5 7 6 5 7 11 10 13 6 7 11 6 7 6 22 7 8 16 7 7 6 7 13 6 39 12 134 9 7 7 7 2
"gene_id_91" 7 7 6 6 5 7 10 10 15 5 7 13 6 7 6 18 7 5 12 10 5 6 7 15 6 38 10 134 9 5 12 7 11
"gene_id_92" 9 5 7 6 8 6 10 10 21 6 7 15 6 7 6 20 7 7 8 10 7 6 7 15 6 44 9 149 9 5 14 7 5
"gene_id_93" 10 5 7 6 8 6 8 10 21 6 7 16 6 7 6 18 7 7 8 10 7 6 8 15 6 44 7 150 9 5 14 7 6
"gene_id_94" 11 7 7 6 5 6 8 10 27 5 7 14 6 7 6 21 7 7 5 10 7 6 7 15 6 46 8 149 9 5 12 7 8
"gene_id_95" 12 7 7 5 8 6 6 10 22 6 7 16 6 7 6 18 7 7 8 5 7 6 6 17 6 46 9 148 6 5 13 7 9
"gene_id_96" 9 7 5 6 8 7 9 10 25 8 11 13 6 8 6 21 5 7 8 10 7 6 7 13 6 45 15 178 8 7 9 7 7
"gene_id_97" 7 7 6 6 8 7 9 10 34 8 6 12 6 6 6 21 7 7 5 5 7 6 5 13 6 42 13 186 5 7 16 7 7
"gene_id_98" 8 6 7 6 8 10 11 11 29 11 7 10 6 8 6 15 6 7 9 13 7 6 6 17 6 36 9 144 10 6 10 7 9
"gene_id_99" 8 7 7 6 8 7 7 6 37 7 7 8 5 5 6 13 7 5 5 9 7 6 9 14 6 40 11 156 9 7 8 5 9
"gene_id_100" 9 7 7 6 8 7 7 10 41 7 7 10 6 7 6 10 7 8 6 8 7 5 6 11 6 30 11 139 9 6 12 5 4
"gene_id_101" 11 5 7 6 8 7 8 11 38 7 7 10 6 7 6 11 7 5 8 10 5 6 5 7 6 35 12 145 9 6 11 5 9
"gene_id_102" 10 5 7 6 8 7 9 7 29 7 7 9 6 7 6 10 7 6 12 10 5 5 7 6 6 32 15 143 9 5 8 5 9
"gene_id_103" 8 7 7 6 8 7 8 9 37 8 7 8 6 6 6 10 7 7 13 11 7 6 5 6 6 33 16 137 9 7 9 5 8
"gene_id_104" 9 7 7 6 8 5 11 10 35 7 7 11 6 8 6 8 7 5 9 9 5 6 9 9 6 32 13 129 9 7 12 5 11
"gene_id_105" 7 7 7 6 8 10 11 10 37 5 7 9 6 8 6 11 7 7 9 12 7 6 9 8 6 34 8 144 6 7 14 7 6
"gene_id_106" 5 7 7 6 8 9 12 10 30 6 7 8 6 8 6 8 7 8 11 10 7 6 9 9 6 32 7 150 6 8 15 7 3
"gene_id_107" 5 7 7 6 5 14 11 10 20 7 7 5 6 8 6 11 6 5 8 11 7 6 17 10 6 33 9 143 6 12 16 7 4
"gene_id_108" 5 5 7 6 6 15 11 5 19 7 7 5 6 10 6 13 6 5 8 9 6 6 16 10 6 32 8 155 9 13 14 8 10
"gene_id_109" 5 6 7 6 6 12 11 5 18 7 7 5 6 9 6 13 6 7 9 10 5 6 15 10 6 33 6 151 9 12 15 8 6
"gene_id_110" 6 7 7 6 7 11 12 8 26 7 7 5 6 6 6 13 6 6 9 14 5 6 14 12 6 32 11 149 8 10 14 7 4
"gene_id_111" 8 9 6 6 11 10 9 10 30 5 5 10 6 6 6 14 7 5 8 14 5 6 12 14 5 28 11 153 11 8 10 6 6
"gene_id_112" 11 7 7 6 10 14 10 14 35 7 7 17 6 7 6 19 7 7 10 13 7 6 7 20 12 34 15 145 14 10 10 5 8
"gene_id_113" 7 7 7 6 9 14 9 12 32 7 7 19 6 7 6 17 7 7 7 12 7 6 9 20 12 29 14 137 12 9 10 6 5
"gene_id_114" 9 6 5 6 9 14 8 13 30 5 7 20 6 7 6 20 7 6 6 9 7 6 7 22 12 34 9 125 10 11 10 7 8
"gene_id_115" 5 5 7 6 12 8 8 7 44 7 7 15 6 7 6 22 8 6 9 11 10 6 7 15 6 49 8 152 9 7 7 5 7
"gene_id_116" 7 5 9 5 9 10 9 10 36 7 7 11 6 7 6 13 10 7 15 5 7 6 6 15 6 36 10 104 10 7 14 7 4
"gene_id_117" 8 7 7 6 7 7 11 11 39 5 7 17 6 7 6 14 7 5 8 10 8 6 5 12 6 23 10 111 6 7 10 7 14
"gene_id_118" 8 7 7 6 5 5 9 13 45 10 7 10 6 7 6 17 6 7 11 11 5 6 7 16 7 27 11 136 6 7 13 5 6
"gene_id_119" 5 9 7 6 6 5 6 14 26 6 8 18 6 5 6 12 7 7 6 16 7 5 5 9 6 37 5 150 5 5 9 7 7
"gene_id_120" 5 9 7 6 6 7 6 14 27 6 7 18 6 7 6 12 7 6 6 15 7 5 7 8 6 38 5 149 5 5 9 7 4
"gene_id_121" 9 7 6 5 11 5 6 8 20 8 5 10 6 7 6 13 6 7 8 8 7 6 7 12 6 31 14 124 5 7 7 7 9
"gene_id_122" 5 5 7 6 8 5 8 5 26 10 7 7 6 7 6 19 5 7 7 12 9 6 7 10 6 42 9 148 5 7 13 5 8
"gene_id_123" 7 7 7 6 10 6 9 11 25 6 7 7 6 6 6 17 8 7 8 12 7 6 7 9 6 39 9 140 9 6 15 7 6
"gene_id_124" 5 7 7 6 6 8 7 14 25 5 7 8 6 7 6 18 7 7 8 16 5 6 6 9 6 37 8 120 9 7 7 7 9
"gene_id_125" 5 7 7 6 8 6 6 10 13 6 7 14 6 7 6 12 6 6 8 6 7 6 7 13 6 19 11 99 5 7 18 7 9
"gene_id_126" 6 5 7 6 8 6 5 10 15 6 7 17 6 5 6 10 7 7 8 5 7 6 7 13 6 20 6 114 6 6 14 7 5
"gene_id_127" 5 7 7 6 8 6 6 10 11 7 7 17 6 5 6 11 6 7 7 5 7 6 7 13 6 22 6 120 5 6 12 7 9
"gene_id_128" 5 5 7 6 8 7 7 14 20 5 7 13 6 5 6 17 12 7 5 9 6 6 7 12 6 28 12 145 5 7 18 6 10
"gene_id_129" 6 7 5 7 7 6 13 12 16 7 7 8 6 7 6 15 7 7 6 10 7 6 7 13 6 33 12 157 15 7 6 7 6
"gene_id_130" 6 7 7 6 8 5 10 7 17 7 7 8 6 7 6 12 7 7 8 10 5 6 6 11 6 29 14 139 7 7 6 7 6
"gene_id_131" 5 5 7 6 8 6 9 10 24 7 7 7 6 5 6 14 5 7 8 11 8 6 5 15 6 39 13 154 8 7 7 7 7
"gene_id_132" 5 5 7 6 12 7 9 12 23 7 7 6 6 6 6 15 7 7 8 10 9 6 5 12 6 38 13 160 10 7 7 8 7
"gene_id_133" 6 7 7 6 12 5 5 8 18 7 7 5 6 7 6 17 5 7 5 10 7 5 7 14 6 34 12 149 12 7 10 9 7
"gene_id_134" 5 7 7 6 13 7 5 8 15 7 7 6 6 6 6 17 5 7 5 12 6 5 7 15 6 29 12 148 9 5 7 8 10
"gene_id_135" 5 7 7 6 9 8 6 11 13 7 5 10 6 7 6 17 7 7 8 10 8 6 7 8 6 24 11 124 8 7 10 8 7
"gene_id_136" 7 7 7 6 6 9 5 10 22 6 6 8 6 7 6 12 7 7 8 11 6 6 7 13 6 27 10 148 10 7 7 12 7
"gene_id_137" 9 7 7 6 8 7 6 10 22 7 7 9 6 6 6 12 5 7 8 10 7 6 7 13 6 27 12 139 10 5 7 13 6
"gene_id_138" 7 7 7 6 8 6 5 7 22 6 7 9 6 7 6 8 7 7 8 12 6 6 7 15 6 21 9 146 8 7 6 13 8
"gene_id_139" 6 7 7 6 7 7 13 10 28 11 7 5 6 7 6 12 6 6 7 9 5 6 7 15 6 31 12 134 11 5 6 6 7
"gene_id_140" 6 7 7 6 8 7 14 10 31 11 7 11 6 7 6 12 7 5 7 10 5 6 7 16 6 34 14 134 11 5 6 7 12
"gene_id_141" 8 7 7 6 12 7 10 10 29 9 7 5 6 7 6 11 6 8 7 5 7 6 7 14 6 29 14 137 9 7 10 7 10
"gene_id_142" 7 7 7 6 12 7 8 10 33 9 7 5 6 7 6 11 6 7 8 6 7 6 7 14 6 28 13 131 9 7 10 7 4
"gene_id_143" 8 7 7 6 11 7 10 10 40 9 7 11 6 7 6 12 6 8 8 7 7 6 5 13 6 27 13 141 10 7 5 7 6
"gene_id_144" 7 7 7 6 11 7 11 10 37 8 7 11 6 7 6 12 6 7 7 6 7 6 5 12 6 27 13 142 8 7 5 6 7
"gene_id_145" 8 7 7 6 7 7 9 10 32 6 7 11 6 7 6 14 8 7 7 6 6 6 7 12 6 23 16 116 10 7 6 6 14
"gene_id_146" 7 7 7 6 7 7 9 10 31 7 7 11 6 7 6 12 6 7 7 7 5 6 7 12 6 22 16 123 8 5 6 6 14
"gene_id_147" 6 7 7 6 7 7 8 10 33 7 7 11 6 7 6 14 7 6 6 10 6 6 7 13 6 24 15 126 9 7 6 6 11
"gene_id_148" 5 7 7 6 7 7 7 10 31 8 7 11 6 7 6 15 7 7 7 9 6 6 7 15 6 22 16 127 10 7 5 6 4
"gene_id_149" 7 7 5 6 7 7 7 10 33 8 7 11 6 7 6 16 7 8 8 9 6 6 7 15 6 22 15 128 10 5 6 6 6
"gene_id_150" 5 7 6 6 8 5 9 10 22 7 7 9 6 5 6 9 10 6 9 9 7 6 7 16 6 35 13 159 10 7 9 7 7
"gene_id_151" 7 6 5 6 8 7 9 7 24 10 7 10 6 5 6 14 9 7 8 9 7 6 7 15 6 44 15 164 11 7 8 7 4
"gene_id_152" 5 9 7 6 8 7 9 5 23 9 5 15 6 7 6 17 8 7 7 10 7 5 7 17 6 39 11 166 13 7 11 7 8
"gene_id_153" 5 8 7 6 8 5 6 6 27 9 7 17 6 5 6 22 7 7 8 11 7 5 7 15 6 32 10 152 13 7 9 6 7
"gene_id_154" 5 7 7 6 8 7 8 6 28 8 7 22 6 5 6 23 7 7 7 10 5 5 7 20 6 25 7 149 12 5 9 7 4
"gene_id_155" 7 10 7 6 5 7 11 5 21 7 6 20 6 7 6 15 5 7 11 6 7 5 5 21 6 25 5 141 14 7 9 10 12
"gene_id_156" 9 5 7 6 8 5 8 9 30 7 7 15 6 5 6 11 6 7 10 10 7 6 6 12 6 22 11 133 12 7 11 5 4
"gene_id_157" 5 5 7 6 8 5 5 9 26 7 5 15 6 7 6 10 7 7 11 5 5 6 6 9 6 22 10 127 12 6 11 5 12
"gene_id_158" 5 7 7 6 6 7 9 7 19 7 7 13 6 5 6 9 7 7 11 6 8 6 5 8 6 22 12 125 9 8 13 7 6
"gene_id_159" 6 7 7 6 7 9 9 7 20 7 7 13 6 6 6 9 7 7 11 6 8 6 5 9 6 23 11 120 10 8 12 7 10
"gene_id_160" 10 7 7 6 8 7 17 10 10 7 7 11 6 7 6 18 5 7 8 9 7 6 7 11 6 28 8 118 10 8 6 7 3
"gene_id_161" 10 6 7 6 10 7 6 13 20 9 7 9 6 7 6 15 7 7 11 9 8 6 5 8 6 34 12 159 8 7 13 7 2
"gene_id_162" 5 7 5 6 5 7 8 5 13 7 7 16 6 7 6 10 8 15 9 11 7 6 5 8 6 41 10 175 11 7 10 7 9
"gene_id_163" 6 7 5 6 8 5 6 5 13 6 7 13 6 7 6 23 6 7 7 7 9 6 7 9 6 43 10 148 8 7 13 7 9
"gene_id_164" 6 7 7 5 6 7 12 17 43 7 7 8 5 7 6 22 7 7 8 9 7 6 5 24 6 55 16 115 9 5 19 5 4
"gene_id_165" 6 7 7 6 8 8 5 8 31 7 7 11 6 6 6 11 7 7 7 10 7 6 7 11 6 39 10 139 13 6 19 7 9
"gene_id_166" 7 7 7 6 8 5 10 5 27 7 7 20 6 7 8 9 7 6 7 13 7 6 6 13 6 50 9 134 5 7 15 7 8
"gene_id_167" 9 7 7 6 8 7 11 6 32 7 7 18 6 7 6 12 7 9 6 11 5 6 7 14 6 50 10 139 9 6 14 5 8
"gene_id_168" 7 7 7 6 8 7 10 6 36 7 6 18 6 7 6 18 7 9 8 10 5 6 5 15 6 46 7 126 9 6 12 5 10
"gene_id_169" 5 5 6 6 8 7 6 12 35 5 7 12 6 7 6 22 7 9 12 8 7 6 6 6 6 38 9 128 6 10 14 7 8
"gene_id_170" 5 7 7 6 8 7 6 11 38 7 7 12 6 7 6 11 7 7 12 16 5 6 5 8 6 30 14 121 8 7 10 7 3
"gene_id_171" 8 7 6 7 11 7 9 10 11 5 7 11 6 5 6 16 7 7 13 12 5 6 8 6 6 35 5 167 11 6 10 7 8
"gene_id_172" 7 7 7 6 7 7 6 7 36 7 7 10 6 7 6 34 7 6 7 13 7 6 5 8 6 40 13 162 8 6 8 5 4
"gene_id_173" 7 7 8 6 7 7 9 11 31 6 5 14 6 10 6 23 7 7 8 12 5 6 7 11 6 46 8 137 10 7 8 7 4
"gene_id_174" 5 7 8 6 10 7 9 8 37 6 5 13 5 8 6 26 8 7 8 15 7 6 7 11 6 44 5 148 9 5 12 7 10
"gene_id_175" 5 7 5 6 8 7 11 13 35 8 5 8 6 7 6 11 9 7 15 12 8 6 7 14 6 45 10 174 10 7 10 5 9
"gene_id_176" 7 7 7 6 7 7 9 19 41 8 9 9 6 7 6 21 5 7 17 8 10 6 5 12 6 35 10 126 11 7 8 7 7
"gene_id_177" 7 7 7 6 9 7 7 16 34 6 7 9 6 7 6 21 6 6 14 8 8 6 7 12 6 34 9 109 9 7 7 7 8
"gene_id_178" 7 5 7 6 8 5 7 10 41 12 7 13 6 6 6 18 7 7 8 5 5 5 7 15 6 29 11 142 9 7 8 6 8
"gene_id_179" 8 7 7 6 5 7 8 6 30 15 7 11 6 6 6 22 5 7 8 6 5 6 7 10 6 34 15 158 9 5 15 7 2
"gene_id_180" 6 7 7 6 6 7 10 10 22 13 7 14 6 7 6 16 7 7 8 7 7 6 7 15 6 30 13 162 9 7 18 7 2
"gene_id_181" 6 7 7 5 8 6 11 11 29 7 7 8 5 7 6 13 7 9 9 11 7 6 7 23 6 29 9 184 9 7 12 7 4
"gene_id_182" 6 7 7 6 8 11 6 20 42 16 9 9 5 7 6 13 7 7 5 12 7 6 5 11 6 34 12 158 11 6 8 7 5
